Order...1,Sample,Age,Sex,Sp. Nr.,Species,Class,Order...8,Family,Pest,Migratory,Wingspan (mm),No. Reads,Date
1,366,Ad,F,52,Ethmia bipunctella,Insecta,Lepidoptera,Depressariidae,no,no,23.5,32672,7/20/12
2,366,Ad,F,22,Bradycellus verbasci,Insecta,Coleoptera,Carabidae,no,no,na,411,7/20/12
3,367,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,14796,7/20/12
4,367,Ad,F,98,Rhyacia simulans,Insecta,Lepidoptera,Noctuidae,no,yes,52.5,8953,7/20/12
5,367,Ad,F,114,Xestia c-nigrum,Insecta,Lepidoptera,Noctuidae,yes,yes,40,3472,7/20/12
6,367,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,3282,7/20/12
7,367,Ad,F,2,Acrobasis obliqua,Insecta,Lepidoptera,Pyralidae,no,no,na,2178,7/20/12
8,367,Ad,F,4,Agonopterix scopariella,Insecta,Lepidoptera,Depressariidae,no,no,20.5,1807,7/20/12
9,367,Ad,F,70,Leucania loreyi,Insecta,Lepidoptera,Noctuidae,yes,yes,39,1067,7/20/12
10,367,Ad,F,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,925,7/20/12
11,367,Ad,F,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,655,7/20/12
12,584,Ad,F,49,Diptera sp.,Insecta,Diptera,unclassified Diptera,no,no,na,21149,9/10/12
13,584,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,8499,9/10/12
14,584,Ad,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,3693,9/10/12
15,584,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,2277,9/10/12
16,584,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,1820,9/10/12
17,584,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1319,9/10/12
18,598,Ad,M,73,Mythimna albipuncta,Insecta,Lepidoptera,Noctuidae,no,yes,32.5,10590,9/10/12
19,598,Ad,M,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,3891,9/10/12
20,598,Ad,M,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,3099,9/10/12
21,598,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,2651,9/10/12
22,598,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,651,9/10/12
23,606,Ad,M,18,Aspitates ochrearia,Insecta,Lepidoptera,Geometridae,yes,no,29.5,9226,9/10/12
24,606,Ad,M,84,Nysius graminicola,Insecta,Hemiptera,Lygaeidae,no,no,na,6123,9/10/12
25,606,Ad,M,34,Chrysopidae sp. 1,Insecta,Neuroptera,Chrysopidae,no,no,na,4018,9/10/12
26,606,Ad,M,1,Acrobasis bithynella,Insecta,Lepidoptera,Pyralidae,no,no,20,2877,9/10/12
27,606,Ad,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,1173,9/10/12
28,606,Ad,M,63,Hemerobius stigma,Insecta,Neuroptera,Hemerobiidae,no,no,na,274,9/10/12
29,628,Ad,F,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,29882,9/10/12
30,628,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,2481,9/10/12
31,628,Ad,F,9,Agrotis lata,Insecta,Lepidoptera,Noctuidae,no,no,40,365,9/10/12
32,716,Juv,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,37862,9/21/12
33,716,Juv,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,4313,9/21/12
34,716,Juv,M,84,Nysius graminicola,Insecta,Hemiptera,Lygaeidae,no,no,na,2122,9/21/12
35,716,Juv,M,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,915,9/21/12
36,716,Juv,M,65,Hoplodrina octogenaria/ Caradrina flavirena/ Caradrina fuscicornis/ Caradrina  aspersa,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,30.5,689,9/21/12
37,716,Juv,M,111,Uresiphita gilvata/ polygonalis,Insecta,Lepidoptera,Crambidae,no,yes,32,636,9/21/12
38,716,Juv,M,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,551,9/21/12
39,719,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,43499,9/21/12
40,725,Juv,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,22518,9/21/12
41,725,Juv,M,84,Nysius graminicola,Insecta,Hemiptera,Lygaeidae,no,no,na,6056,9/21/12
42,725,Juv,M,14,Anomis cataggelus*,Insecta,Lepidoptera,Erebidae,no,no,na,4448,9/21/12
43,725,Juv,M,24,Calophasia platyptera,Insecta,Lepidoptera,Noctuidae,no,no,30,479,9/21/12
44,726,Juv,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,8054,9/21/12
45,726,Juv,M,73,Mythimna albipuncta,Insecta,Lepidoptera,Noctuidae,no,yes,32.5,6682,9/21/12
46,726,Juv,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,5753,9/21/12
47,726,Juv,M,65,Hoplodrina octogenaria/ Caradrina flavirena/ Caradrina fuscicornis/ Caradrina  aspersa,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,30.5,4992,9/21/12
48,726,Juv,M,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,476,9/21/12
49,727,Ad,M,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,22648,9/21/12
50,727,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1253,9/21/12
51,732,Juv,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,41608,9/21/12
52,733,Ad,M,113,Xestia agathina,Insecta,Lepidoptera,Noctuidae,no,no,32,23167,9/21/12
53,733,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,725,9/21/12
54,734,Juv,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,16951,9/21/12
55,734,Juv,M,17,Arthropoda sp.1,unclassified Arthropoda,unclassified Arthropoda,unclassified Arthropoda,no,no,na,6770,9/21/12
56,734,Juv,M,99,Spodoptera exigua,Insecta,Lepidoptera,Noctuidae,yes,no,29,4563,9/21/12
57,734,Juv,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,2558,9/21/12
58,734,Juv,M,70,Leucania loreyi,Insecta,Lepidoptera,Noctuidae,yes,yes,39,1655,9/21/12
59,734,Juv,M,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,1095,9/21/12
60,734,Juv,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,595,9/21/12
61,742,Ad,F,56,Eugnorisma glareosa,Insecta,Lepidoptera,Noctuidae,yes,no,35,30651,9/21/12
62,801,Ad,M,105,Tipula oleracea,Insecta,Diptera,Tipulidae,no,no,na,11762,10/4/12
63,801,Ad,M,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,4863,10/4/12
64,801,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,3640,10/4/12
65,801,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,2584,10/4/12
66,801,Ad,M,75,Mythimna riparia,Insecta,Lepidoptera,Noctuidae,no,no,na,1917,10/4/12
67,801,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,1404,10/4/12
68,838,Ad,M,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,13865,10/7/12
69,838,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,7345,10/7/12
70,838,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1763,10/7/12
71,838,Ad,M,73,Mythimna albipuncta,Insecta,Lepidoptera,Noctuidae,no,yes,32.5,1310,10/7/12
72,838,Ad,M,2,Acrobasis obliqua,Insecta,Lepidoptera,Pyralidae,no,no,na,1276,10/7/12
73,838,Ad,M,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,1226,10/7/12
74,841,Ad,M,20,Autophila dilucida,Insecta,Lepidoptera,Erebidae,no,no,na,12820,10/7/12
75,841,Ad,M,70,Leucania loreyi,Insecta,Lepidoptera,Noctuidae,yes,yes,39,9679,10/7/12
76,841,Ad,M,77,Noctua comes,Insecta,Lepidoptera,Noctuidae,yes,no,41,2622,10/7/12
77,841,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,1803,10/7/12
78,841,Ad,M,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,1622,10/7/12
79,841,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,1329,10/7/12
80,841,Ad,M,97,Rhoptria asperaria,Insecta,Lepidoptera,Noctuidae,no,no,22.5,1323,10/7/12
81,841,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,753,10/7/12
82,841,Ad,M,30,Chloantha hyperici/ Helicoverpa armigera,Insecta,Lepidoptera,Noctuidae,yes,yes,35,645,10/7/12
83,841,Ad,M,80,Noctua tirrenica,Insecta,Lepidoptera,Noctuidae,no,no,51,503,10/7/12
84,841,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,435,10/7/12
85,850,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,39150,10/7/12
86,873,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,11700,10/9/12
87,873,Ad,F,12,Anarta trifolii/ Plemyria rubiginata/ Choristoneura hebenstreitella,Insecta,Lepidoptera,Noctuidae / Geometridae / Tortricidae,yes,yes,29,10822,10/9/12
88,873,Ad,F,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,7312,10/9/12
89,873,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,6702,10/9/12
90,873,Ad,F,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,2315,10/9/12
91,873,Ad,F,84,Nysius graminicola,Insecta,Hemiptera,Lygaeidae,no,no,na,778,10/9/12
92,873,Ad,F,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,647,10/9/12
93,890,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,43986,10/11/12
94,890,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,2983,10/11/12
95,890,Ad,F,2,Acrobasis obliqua,Insecta,Lepidoptera,Pyralidae,no,no,na,1086,10/11/12
96,1027,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,25695,4/16/13
97,1027,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,3222,4/16/13
98,1027,Ad,M,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,3014,4/16/13
99,1027,Ad,M,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,1577,4/16/13
100,1027,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,1328,4/16/13
101,1027,Ad,M,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,1204,4/16/13
102,1027,Ad,M,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,516,4/16/13
103,1027,Ad,M,36,Chrysoteuchia culmella,Insecta,Lepidoptera,Crambidae,yes,no,21,462,4/16/13
104,1043,Ad,M,15,Aporophyla lueneburgensis,Insecta,Lepidoptera,Noctuidae,no,no,38.5,14158,4/16/13
105,1043,Ad,M,39,Compsoptera opacaria,Insecta,Lepidoptera,Geometridae,no,no,39.5,5562,4/16/13
106,1043,Ad,M,90,Plebejus argusº,Insecta,Lepidoptera,Lycaenidae,no,no,29,4048,4/16/13
107,1043,Ad,M,56,Eugnorisma glareosa,Insecta,Lepidoptera,Noctuidae,yes,no,35,2945,4/16/13
108,1043,Ad,M,54,Eucoptocnemis optabilis,Insecta,Lepidoptera,Noctuidae,no,no,na,2081,4/16/13
109,1043,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1519,4/16/13
110,1043,Ad,M,78,Noctua orbona,Insecta,Lepidoptera,Noctuidae,no,no,41.5,750,4/16/13
111,1043,Ad,M,51,Ennomos quercinaria,Insecta,Lepidoptera,Geometridae,yes,no,46,574,4/16/13
112,1043,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,537,4/16/13
113,1097,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,38903,4/20/13
114,1097,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,13937,4/20/13
115,1097,Ad,F,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,1048,4/20/13
116,1120,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,20079,4/20/13
117,1120,Ad,M,13,Angustalius malacellus,Insecta,Lepidoptera,Crambidae,yes,no,na,4843,4/20/13
118,1120,Ad,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,546,4/20/13
119,1120,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,386,4/20/13
120,1120,Ad,M,69,Insecta sp.1,Insecta,unclassified Insecta,unclassified Insecta,no,no,na,341,4/20/13
121,1120,Ad,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,338,4/20/13
122,1132,Ad,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,26707,4/22/13
123,1132,Ad,M,18,Aspitates ochrearia,Insecta,Lepidoptera,Geometridae,yes,no,29.5,2359,4/22/13
124,1132,Ad,M,102,Thalpophila vitalba,Insecta,Lepidoptera,Noctuidae,yes,no,42,1083,4/22/13
125,1132,Ad,M,23,Bryotropha terrella,Insecta,Lepidoptera,Gelechiidae,no,no,15,1003,4/22/13
126,1132,Ad,M,82,Nycteola revayana,Insecta,Lepidoptera,Nolidae,yes,no,22.5,1000,4/22/13
127,1134,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,35493,4/22/13
128,1134,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,6163,4/22/13
129,1134,Ad,F,67,Idaea laevigata,Insecta,Lepidoptera,Geometridae,no,no,20,902,4/22/13
130,1149,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,30038,4/24/13
131,1149,Ad,F,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,1194,4/24/13
132,1149,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,1102,4/24/13
133,1149,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1010,4/24/13
134,1149,Ad,F,105,Tipula oleracea,Insecta,Diptera,Tipulidae,no,no,na,962,4/24/13
135,1149,Ad,F,81,Nomophila noctuella,Insecta,Lepidoptera,Crambidae,yes,yes,29,657,4/24/13
136,1149,Ad,F,4,Agonopterix scopariella,Insecta,Lepidoptera,Depressariidae,no,no,20.5,471,4/24/13
137,1150,Ad,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,21146,4/24/13
138,1150,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,10501,4/24/13
139,1150,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,6141,4/24/13
140,1150,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,3479,4/24/13
141,1183,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,10123,5/4/13
142,1183,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,8143,5/4/13
143,1183,Ad,M,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,4365,5/4/13
144,1183,Ad,M,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,2737,5/4/13
145,1187,Ad,M,17,Arthropoda sp.1,unclassified Arthropoda,unclassified Arthropoda,unclassified Arthropoda,no,no,na,13808,5/4/13
146,1187,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,6668,5/4/13
147,1191,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,11495,5/4/13
148,1191,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,11385,5/4/13
149,1191,Ad,M,106,Tipula paludosa,Insecta,Diptera,Tipulidae,no,no,na,3327,5/4/13
150,1191,Ad,M,105,Tipula oleracea,Insecta,Diptera,Tipulidae,no,no,na,788,5/4/13
151,1191,Ad,M,107,Tipula subcunctans,Insecta,Diptera,Tipulidae,no,no,na,659,5/4/13
152,1191,Ad,M,110,Tortrix viridana,Insecta,Lepidoptera,Tortricidae,yes,no,20.5,443,5/4/13
153,1193,Ad,F,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,11151,5/4/13
154,1193,Ad,F,105,Tipula oleracea,Insecta,Diptera,Tipulidae,no,no,na,9028,5/4/13
155,1193,Ad,F,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,618,5/4/13
156,1193,Ad,F,61,Gymnoscelis rufifasciata,Insecta,Lepidoptera,Geometridae,yes,no,17,567,5/4/13
157,1193,Ad,F,66,Idaea degeneraria,Insecta,Lepidoptera,Geometridae,no,no,28.5,498,5/4/13
158,1194,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,11520,5/4/13
159,1194,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,3974,5/4/13
160,1194,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,3573,5/4/13
161,1194,Ad,F,73,Mythimna albipuncta,Insecta,Lepidoptera,Noctuidae,no,yes,32.5,1655,5/4/13
162,1194,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,1583,5/4/13
163,1195,Ad,M,1,Acrobasis bithynella,Insecta,Lepidoptera,Pyralidae,no,no,20,23037,5/4/13
164,1195,Ad,M,18,Aspitates ochrearia,Insecta,Lepidoptera,Geometridae,yes,no,29.5,1507,5/4/13
165,1195,Ad,M,84,Nysius graminicola,Insecta,Hemiptera,Lygaeidae,no,no,na,906,5/4/13
166,1195,Ad,M,72,Mirificarma mulinella,Insecta,Lepidoptera,Gelechiidae,no,no,6.5,781,5/4/13
167,1203,Ad,F,88,Peridroma saucia,Insecta,Lepidoptera,Noctuidae,yes,yes,50.5,9094,5/4/13
168,1203,Ad,F,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,8763,5/4/13
169,1203,Ad,F,77,Noctua comes,Insecta,Lepidoptera,Noctuidae,yes,no,41,4178,5/4/13
170,1203,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,3580,5/4/13
171,1203,Ad,F,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,990,5/4/13
172,1203,Ad,F,30,Chloantha hyperici/ Helicoverpa armigera,Insecta,Lepidoptera,Noctuidae,yes,yes,35,692,5/4/13
173,1203,Ad,F,57,Eupithecia laquaearia,Insecta,Lepidoptera,Geometridae,no,no,13.5,684,5/4/13
174,1224,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,27812,5/7/13
175,1225,Ad,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,12773,5/7/13
176,1225,Ad,M,96,Rhodometra sacraria,Insecta,Lepidoptera,Geometridae,no,yes,25,7232,5/7/13
177,1225,Ad,M,1,Acrobasis bithynella,Insecta,Lepidoptera,Pyralidae,no,no,20,1935,5/7/13
178,1225,Ad,M,87,Papaipema nebris*,Insecta,Lepidoptera,Noctuidae,no,no,na,1717,5/7/13
179,1225,Ad,M,114,Xestia c-nigrum,Insecta,Lepidoptera,Noctuidae,yes,yes,40,549,5/7/13
180,1228,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,20380,5/7/13
181,1228,Ad,F,59,Euxoa nigrofusca/obelisca,Insecta,Lepidoptera,Noctuidae,no,no,34,17721,5/7/13
182,1231,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,15096,5/7/13
183,1231,Ad,M,17,Arthropoda sp.1,unclassified Arthropoda,unclassified Arthropoda,unclassified Arthropoda,no,no,na,3740,5/7/13
184,1231,Ad,M,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1669,5/7/13
185,1231,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,1115,5/7/13
186,1231,Ad,M,47,Cydia fagiglandana,Insecta,Lepidoptera,Tortricidae,no,no,14,769,5/7/13
187,1246,Ad,M,7,Agrochola lunosa,Insecta,Lepidoptera,Noctuidae,no,no,35,9926,5/9/13
188,1246,Ad,M,56,Eugnorisma glareosa,Insecta,Lepidoptera,Noctuidae,yes,no,35,5921,5/9/13
189,1246,Ad,M,109,Trigonophora jodea,Insecta,Lepidoptera,Noctuidae,no,no,na,4182,5/9/13
190,1246,Ad,M,91,Polymixis argillaceago,Insecta,Lepidoptera,Noctuidae,no,no,36.5,2691,5/9/13
191,1246,Ad,M,64,Hoplodrina ambigua/ superstes,Insecta,Lepidoptera,Noctuidae,no,no,31,2161,5/9/13
192,1246,Ad,M,50,Dryobotodes eremita,Insecta,Lepidoptera,Noctuidae,yes,no,35.5,1299,5/9/13
193,1246,Ad,M,27,Caradrina morpheus,Insecta,Lepidoptera,Noctuidae,no,no,35,699,5/9/13
194,1246,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,607,5/9/13
195,1246,Ad,M,29,Caradrina morpheus/ Hypena sp./ Eupithecia sp.,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,35,349,5/9/13
196,1268,Ad,F,10,Agrotis puta,Insecta,Lepidoptera,Noctuidae,no,no,31,23928,5/9/13
197,1268,Ad,F,65,Hoplodrina octogenaria/ Caradrina flavirena/ Caradrina fuscicornis/ Caradrina  aspersa,Insecta,Lepidoptera,unclassified Lepidoptera,no,no,30.5,7909,5/9/13
198,1268,Ad,F,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,4662,5/9/13
199,1268,Ad,F,40,Crocallis dardoinaria,Insecta,Lepidoptera,Geometridae,no,no,49,2497,5/9/13
200,1268,Ad,F,18,Aspitates ochrearia,Insecta,Lepidoptera,Geometridae,yes,no,29.5,2172,5/9/13
201,1268,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,1299,5/9/13
202,1268,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1037,5/9/13
203,1272,Ad,F,8,Agrotis ipsilon,Insecta,Lepidoptera,Noctuidae,yes,yes,47.5,18746,5/9/13
204,1272,Ad,F,42,Cryphia algae/ pallida,Insecta,Lepidoptera,Noctuidae,no,yes,25,3203,5/9/13
205,1272,Ad,F,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,1806,5/9/13
206,1272,Ad,F,76,Mythimna vitellina,Insecta,Lepidoptera,Noctuidae,no,yes,39.5,1391,5/9/13
207,1276,Ad,M,19,Autographa gamma/ pulchrina,Insecta,Lepidoptera,Noctuidae,yes,yes,37.5,14060,5/9/13
208,1276,Ad,M,79,Noctua pronuba/ janthe,Insecta,Lepidoptera,Noctuidae,yes,yes,38,11454,5/9/13
209,1276,Ad,M,38,Coenobia rufa,Insecta,Lepidoptera,Noctuidae,no,no,23.5,2427,5/9/13
210,1276,Ad,M,11,Agrotis segetum/ trux,Insecta,Lepidoptera,Noctuidae,yes,no,37,401,5/9/13
211,1276,Ad,M,89,Phlogophora meticulosa,Insecta,Lepidoptera,Noctuidae,yes,yes,48.5,344,5/9/13
212,1311,Ad,F,59,Euxoa nigrofusca/obelisca,Insecta,Lepidoptera,Noctuidae,no,no,34,40510,5/13/13
213,1316,Ad,M,113,Xestia agathina,Insecta,Lepidoptera,Noctuidae,no,no,32,24007,5/13/13
