cluster,patch,area,connect,flowers,hosts,EUMA,PAPO,PACR,PAGL,PATR,BAPH,COPH,COEU,PHSE,EULI,PIRA,DAPL,ENAN,CYGE,MECY,HESO,CEPE,ASCE,JUCO,LIAR,POIN,POCO,PHTH,SPCY,SPAP,CHNY,SACA,CACE,STME,EVCO,CELA,CABO,ANNU,POPE,POTH,POOR,WAEG,POVE,ATCA,ATLO,POZA,EUVE,NAIL,AMVI,EPCL,THPY,THBA,ERSP,ERHO
BR,p1BR,1.838,1.487,218,17,0,0,0,2,4,3,6,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23,2,0,0,0,2,1,4,0,0,0,0,0,0,1,0,0,2,4,4,0,0,0,3,0,0,3
BR,p2BR,0.087,2.662,178,13,0,0,0,2,3,1,2,0,0,0,0,1,0,0,6,0,4,0,0,0,0,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BR,p3BR,0.063,2.446,160,15,0,0,0,1,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,6,2,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
BR,p4BR,0.331,1.87,269,18,0,0,1,7,2,5,3,5,2,0,0,0,0,1,2,0,0,0,0,0,0,0,10,1,0,1,0,1,0,4,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0
HP,p5HP,0.026,1.772,42,16,0,0,0,2,1,0,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,9,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0
HP,p6HP,0.035,1.752,52,15,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
HP,p7HP,0.25,1.238,249,19,0,0,0,5,2,5,1,4,0,0,0,0,1,1,3,0,6,0,0,0,0,1,15,10,0,0,0,3,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
CH,p8CH,0.666,1.444,230,19,1,1,0,8,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,3,0,0,0,0,0,3,0,0,0,0,0,0,2,1,1,1,0,3,1,1,0,0,0,0,0
CH,p9CH,0.371,1.595,143,22,0,1,0,4,3,0,2,5,1,0,1,0,0,5,12,0,4,0,0,0,0,1,15,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,3,1,0,1,2,0,0,0,0
CH,p10CH,0.159,1.985,142,19,1,0,0,0,2,1,2,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
TK,p11TK,0.208,1.056,140,22,0,0,0,1,4,2,2,1,0,0,0,0,1,2,1,0,1,1,0,0,0,2,23,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0
TK,p12TK,0.055,1.433,32,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0
TK,p13TK,0.04,1.31,34,14,0,0,0,0,1,0,2,1,0,0,0,0,0,1,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4,0,0,0,0
LX,p14LX,0.108,2.359,206,29,1,2,0,0,2,1,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,17,6,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,4,2,0,0,0
LX,p15LX,0.558,1.947,235,19,0,0,0,0,7,15,7,2,0,1,0,0,1,1,5,1,4,0,1,0,0,0,13,11,0,0,0,0,1,1,2,0,0,6,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0
LX,p16LX,0.16,2.414,278,16,0,0,0,2,6,3,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
LX,p17LX,0.131,2.388,200,22,1,0,0,3,1,0,1,0,0,1,0,0,0,0,12,4,1,0,0,0,0,2,11,3,0,0,0,0,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1
LX,p18LX,0.086,2.591,175,21,1,0,0,0,3,5,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,1,9,7,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
LX,p19LX,0.082,2.525,68,13,2,0,1,4,9,10,0,0,0,0,0,0,1,0,4,1,2,0,0,0,1,0,3,13,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,2,3,0,0,3
LX,p20LX,0.063,2.539,102,17,0,1,0,7,4,5,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,3,14,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LX,p21LX,0.042,2.584,113,23,1,0,1,1,3,1,0,0,0,0,0,0,0,0,12,3,4,0,0,0,0,1,9,6,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
CL,p22CL,0.51,2.466,199,31,1,0,0,3,11,6,2,3,0,0,0,0,2,4,24,0,3,3,0,1,3,0,22,16,0,0,0,1,1,7,3,0,0,0,0,0,1,0,0,0,1,0,1,1,3,2,1,0,1
CL,p23CL,0.193,2.655,110,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,5,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0
CL,p24CL,1.238,1.804,245,28,1,0,0,1,3,1,4,2,1,0,0,0,0,1,5,0,2,5,0,0,0,1,13,5,0,0,0,0,0,3,3,0,1,1,0,0,1,0,0,0,1,3,0,1,2,6,0,0,4
CL,p25CL,0.193,2.315,183,21,5,0,1,13,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,14,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1
CL,p26CL,0.022,2.226,61,21,0,0,3,0,1,2,1,0,0,1,0,0,3,0,15,0,1,1,0,0,0,2,12,22,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0