"id","sex","year","nest","size","r","pairtype"
"101","male",2006,"19/20/21",7,0.3776,"nest"
"101","male",2006,"19/20/21",7,-0.183,"nest"
"1021","female",2007,"29",3,0.3208,"nest"
"1021","female",2006,"32",2,-0.1093,"extra"
"1021","female",2006,"32",2,-0.032,"extra"
"1023","female",2007,"7",2,0.1752,"extra"
"1023","female",2007,"7",2,0.1433,"extra"
"1032","male",2006,"19/20/21",7,-0.3697,"nest"
"1032","male",2006,"19/20/21",7,-0.0744,"nest"
"104","male",2006,"3",2,-0.3702,"extra"
"104","male",2006,"3",2,-0.2068,"extra"
"1110","female",2007,"24A",5,0.2672,"extra"
"1110","female",2007,"24A",5,0.2209,"extra"
"1110","female",2007,"24A",5,-0.3161,"extra"
"1110","female",2007,"24A",5,-0.1391,"extra"
"1114","female",2007,"16",2,-0.0119,"nest"
"112","female",2006,"14/15/16",5,0.4326,"nest"
"1131","male",2007,"8",3,-0.1569,"nest"
"1131","male",2007,"8",3,0.2637,"nest"
"1132","female",2006,"44908",2,0.318,"nest"
"1143","female",2007,"5",3,0.0204,"nest"
"1143","female",2007,"5A",4,0.044,"nest"
"1143","female",2007,"5A",4,-0.2032,"nest"
"120","male",2006,"30",2,-0.1268,"extra"
"120","male",2006,"30",2,-0.1268,"extra"
"120","male",2006,"30",2,0.1089,"extra"
"120","male",2006,"30",2,0.4596,"extra"
"1200","female",2007,"14",5,0.3783,"nest"
"1202","female",2007,"2",2,-0.0612,"extra"
"1202","female",2007,"2",2,-0.0999,"extra"
"1214","male",2006,"28",2,0.3595,"nest"
"124","female",2006,"19/20/21",7,0.3776,"extra"
"124","female",2006,"19/20/21",7,0.07,"nest"
"124","female",2006,"19/20/21",7,0.1419,"nest"
"124","female",2006,"19/20/21",7,-0.3697,"nest"
"124","female",2006,"19/20/21",7,0.1465,"nest"
"124","female",2006,"19/20/21",7,0.2528,"extra"
"1240","male",2007,"21",2,-0.1817,"nest"
"13-214","female",2007,"32",2,0.1196,"extra"
"13-214","female",2007,"32",2,0.1196,"extra"
"13-214","female",2007,"32",2,-0.1377,"extra"
"13-214","female",2007,"32",2,0.2402,"extra"
"1303","male",2006,"5",3,0.4832,"nest"
"1304","female",2007,"25",2,0.1725,"extra"
"1304","female",2007,"25",2,-0.1146,"extra"
"1304","female",2007,"25A",2,0.279,"nest"
"1304","female",2007,"25A",2,0.279,"nest"
"1312","female",2007,"10",4,-0.1186,"nest"
"1312","female",2007,"10",4,0.3258,"nest"
"1320","male",2006,"19/20/21",7,0.1465,"nest"
"1320","male",2006,"19/20/21",7,0.147,"nest"
"1334","male",2007,"10",4,-0.1186,"nest"
"1334","male",2007,"10",4,-0.0882,"nest"
"1340","male",2007,"2",2,-0.0612,"nest"
"142","female",2006,"19/20/21",7,-0.183,"nest"
"142","female",2006,"19/20/21",7,-0.1016,"nest"
"142","female",2006,"19/20/21",7,-0.0744,"nest"
"142","female",2006,"19/20/21",7,-0.0744,"nest"
"142","female",2006,"19/20/21",7,0.147,"nest"
"1423","male",2007,"20",2,-0.2249,"nest"
"1423","male",2007,"20A",2,0.157,"nest"
"1424","female",2008,"F24E",2,-0.0332,"extra"
"1424","female",2008,"F24E",2,-0.184,"extra"
"143","female",2006,"35",2,-0.136,"nest"
"1441","male",2007,"5",3,0.1124,"extra"
"1441","male",2007,"5",3,0.0204,"nest"
"1441","male",2007,"5",3,0.0786,"extra"
"1444","female",2007,"21",2,-0.1817,"nest"
"2013","female",2007,"20A",2,0.157,"nest"
"202","male",2006,"5",3,-0.1708,"extra"
"202","male",2006,"5",3,0.0559,"extra"
"2022","male",2008,"A14E",2,-0.1556,"extra"
"2022","male",2008,"A14E",2,-0.1556,"extra"
"2022","male",2008,"A14E",2,-0.1556,"extra"
"2022","male",2008,"A14E",2,0.0216,"extra"
"2022","male",2008,"A14E",2,-0.1943,"extra"
"2022","male",2008,"A14E",2,-0.0684,"extra"
"204","female",2006,"5",3,-0.1708,"extra"
"204","female",2006,"5",3,0.4832,"nest"
"204","female",2006,"5",3,0.123,"extra"
"2042","male",2007,"27",3,0.2107,"nest"
"2042","male",2007,"27",3,-0.019,"extra"
"2042","male",2007,"27",3,-0.0215,"extra"
"2044","female",2007,"24A",5,-0.0674,"nest"
"2044","female",2007,"24A",5,0.0154,"nest"
"21","male",2006,"19/20/21",7,0.07,"nest"
"21","male",2006,"19/20/21",7,-0.1016,"nest"
"2112","female",2007,"20",2,-0.2249,"nest"
"2123","female",2007,"27",3,0.2107,"nest"
"2141","male",2007,"30",2,-0.0927,"extra"
"2141","male",2007,"30",2,-0.0927,"extra"
"2141","male",2007,"30",2,-0.0921,"extra"
"2141","male",2007,"30",2,0.0357,"extra"
"2142","male",2007,"24A",5,0.2672,"nest"
"2142","male",2007,"24A",5,-0.0674,"nest"
"2142","male",2007,"24A",5,0.1167,"nest"
"22","female",2006,"10/10A",2,-0.0522,"nest"
"2220","female",2007,"30",2,-0.0927,"nest"
"2220","female",2007,"30",2,-0.0927,"nest"
"2230","female",2007,"27",3,-0.019,"nest"
"2233","female",2007,"34",4,-0.2194,"nest"
"23-410","female",2006,"14/15/16",5,0.0067,"nest"
"230","female",2006,"28",2,0.3595,"nest"
"2304","male",2007,"34",4,-0.2194,"extra"
"2304","male",2007,"34",4,0.2901,"extra"
"2304","male",2007,"34",4,0.0126,"nest"
"2304","male",2007,"34",4,0.1801,"extra"
"2304","male",2007,"34",4,-0.1617,"extra"
"2312","male",2008,"F24E",2,-0.0332,"nest"
"2333","female",2007,"5A",4,0.0242,"extra"
"2333","female",2007,"5A",4,0.0286,"nest"
"2333","female",2007,"5A",4,0.0385,"extra"
"2340","female",2007,"34",4,0.2901,"nest"
"2344","female",2007,"5",3,0.1124,"nest"
"2401","male",2007,"11",4,-0.3461,"nest"
"2401","male",2007,"11",4,-0.267,"nest"
"241","male",2006,"32",2,-0.1093,"nest"
"2411","male",2007,"7",2,0.1752,"nest"
"2414","male",2007,"32",2,0.1196,"nest"
"2414","male",2007,"32",2,0.1196,"nest"
"2422","female",2007,"11",4,-0.3461,"nest"
"2422","female",2007,"11",4,-0.0832,"nest"
"2424","male",2008,"A5N",2,0.0672,"nest"
"2431","male",2007,"9",6,-0.0067,"nest"
"2431","male",2007,"9",6,-0.3391,"nest"
"2431","male",2007,"9",6,0.1936,"nest"
"2431","male",2007,"9",6,-0.3451,"nest"
"3/24/10","female",2007,"12",2,0.1553,"nest"
"3000","male",2007,"12",2,0.1553,"nest"
"3012","female",2007,"10",4,-0.0882,"nest"
"3012","female",2007,"10",4,0.247,"nest"
"3022","female",2006,"6",3,0.1655,"nest"
"3022","female",2006,"6",3,0.1505,"nest"
"3032","male",2007,"19",2,0.2062,"nest"
"3032","male",2007,"19",2,0.2062,"nest"
"3034","male",2007,"16",2,-0.0119,"extra"
"3034","male",2007,"16",2,0.0217,"extra"
"3043","male",2006,"14/15/16",5,0.0067,"nest"
"3043","male",2006,"14/15/16",5,0.4326,"nest"
"3043","male",2006,"14/15/16",5,0.3745,"nest"
"3043","male",2006,"14/15/16",5,-0.1175,"nest"
"3104","male",2007,"14",5,0.3783,"extra"
"3104","male",2007,"14",5,-0.0574,"nest"
"3104","male",2007,"14",5,-0.0241,"nest"
"3104","male",2007,"14",5,-0.0494,"nest"
"3104","male",2007,"14",5,0.0039,"extra"
"3114","male",2007,"5A",4,0.0242,"nest"
"3114","male",2007,"5A",4,0.044,"extra"
"3114","male",2007,"5A",4,0.0364,"extra"
"3124","male",2006,"6",3,0.1505,"nest"
"3124","female",2008,"D10SE",3,0.3105,"extra"
"3124","female",2008,"D10SE",3,-0.4303,"extra"
"3132","male",2006,"4",2,-0.3064,"nest"
"3142","female",2006,"3",2,-0.3702,"nest"
"3201","female",2006,"30",2,-0.1268,"nest"
"3201","female",2006,"30",2,-0.1268,"nest"
"3212","female",2008,"D10SE",3,-0.0874,"extra"
"3213","female",2006,"33/34",3,-0.2763,"extra"
"3213","female",2006,"33/34",3,-0.0157,"extra"
"3214","female",2006,"4",2,-0.3064,"extra"
"3214","female",2006,"4",2,-0.375,"extra"
"322","male",2006,"6",3,0.1655,"extra"
"322","male",2006,"6",3,-0.2932,"extra"
"3221","female",2007,"8",3,-0.1569,"nest"
"3230","female",2007,"34",4,0.0126,"nest"
"3234","male",2007,"24A",5,0.2209,"nest"
"3234","male",2007,"24A",5,0.0154,"nest"
"3234","male",2007,"24A",5,0.2511,"nest"
"3242","male",2008,"C1E",3,1,"nest"
"3242","male",2008,"C1E",3,0.8893,"nest"
"3304","female",2007,"9",6,-0.1715,"nest"
"3304","female",2007,"9",6,-0.0067,"extra"
"3304","female",2007,"9",6,-0.3103,"extra"
"3310","male",2007,"11",4,-0.0832,"nest"
"3310","male",2007,"11",4,0.1312,"nest"
"3330","male",2007,"9",6,-0.1715,"nest"
"3330","male",2007,"9",6,0.0373,"nest"
"3330","male",2007,"9",6,-0.0629,"extra"
"3330","male",2007,"9",6,-0.0881,"nest"
"3330","male",2007,"9",6,-0.3161,"extra"
"3332","male",2007,"10",4,0.3258,"nest"
"3332","male",2007,"10",4,0.247,"nest"
"3334","female",2007,"11",4,-0.267,"nest"
"3334","female",2007,"11",4,0.1312,"nest"
"3341","male",2007,"5A",4,0.0286,"nest"
"3341","male",2007,"5A",4,-0.2032,"extra"
"3341","male",2007,"5A",4,0.0775,"extra"
"3401","female",2007,"14",5,-0.0574,"nest"
"3402","male",2007,"13",2,-0.0873,"extra"
"3402","male",2007,"13",2,-0.0873,"extra"
"3402","male",2007,"13",2,-0.4174,"extra"
"3402","male",2007,"13",2,-0.1138,"extra"
"3402","female",2008,"A17NW",2,-0.299,"nest"
"341","male",2006,"35",2,-0.136,"nest"
"3410","male",2007,"25A",2,0.279,"extra"
"3410","male",2007,"25A",2,0.279,"extra"
"3410","male",2007,"25A",2,-0.1391,"extra"
"3410","male",2007,"25A",2,0.279,"extra"
"3420","male",2006,"44908",2,0.318,"nest"
"3421","female",2007,"9",6,0.0373,"nest"
"3421","female",2007,"9",6,-0.3391,"nest"
"3424","female",2007,"9",6,-0.0629,"nest"
"3424","female",2007,"9",6,0.1936,"nest"
"3433","female",2006,"14/15/16",5,0.3745,"nest"
"40","female",2006,"31",2,-0.0923,"nest"
"4000","female",2007,"14",5,-0.0241,"nest"
"402","male",2006,"19/20/21",7,0.1419,"nest"
"402","male",2006,"19/20/21",7,-0.0744,"nest"
"403","female",2006,"14/15/16",5,-0.1175,"nest"
"4030","female",2007,"13",2,-0.0873,"extra"
"4030","female",2007,"13",2,-0.0873,"nest"
"4030","female",2007,"13",2,0.0039,"extra"
"404","male",2006,"33/34",3,-0.2763,"nest"
"404","male",2006,"33/34",3,-0.3669,"nest"
"411","male",2006,"10/10A",2,-0.0522,"extra"
"411","male",2006,"10/10A",2,-0.2039,"extra"
"4110","male",2008,"A13SW1",2,0.4136,"extra"
"4110","male",2008,"A13SW1",2,0.4136,"extra"
"4110","male",2008,"A13SW1",2,-0.1459,"extra"
"4110","male",2008,"A13SW1",2,-0.0304,"extra"
"4111","female",2007,"24A",5,0.1167,"nest"
"4111","female",2007,"24A",5,0.2511,"nest"
"412","female",2006,"33/34",3,-0.3669,"extra"
"412","female",2006,"33/34",3,-0.0378,"extra"
"4130","female",2008,"A14E",2,-0.1556,"nest"
"4130","female",2008,"A14E",2,-0.1556,"nest"
"4130","female",2008,"A14E",2,-0.1556,"nest"
"4202","female",2007,"9",6,-0.0881,"nest"
"4202","female",2007,"9",6,-0.3451,"nest"
"4210","female",2007,"8",3,0.2637,"nest"
"4221","female",2008,"A13SW1",2,0.4136,"nest"
"4221","female",2008,"A13SW1",2,0.4136,"nest"
"4323","male",2007,"25",2,0.1725,"nest"
"4330","male",2007,"29",3,0.3208,"nest"
"4330","male",2007,"29",3,0.1442,"nest"
"4332","male",2008,"A17NW",2,-0.299,"nest"
"4333","male",2007,"22",2,0.2099,"nest"
"4333","female",2008,"C1E",3,1,"nest"
"434","male",2006,"31",2,-0.0923,"nest"
"4340","female",2007,"29",3,0.1442,"nest"
"4340","female",2008,"A5N",2,0.0672,"nest"
"4343","female",2007,"22",2,0.2099,"nest"
"4403","female",2008,"C1E",3,0.8893,"nest"
"4422","female",2007,"19",2,0.2062,"extra"
"4422","female",2007,"19",2,0.2062,"extra"
"4422","female",2007,"19",2,0.3185,"extra"
"4422","female",2007,"19",2,-0.2781,"extra"
"4434","female",2007,"14",5,-0.0494,"nest"
"4442","male",2008,"D10SE",3,0.3105,"nest"
"4442","male",2008,"D10SE",3,-0.0874,"nest"
